Velocity_mm_s,Force_N
-800,-185.41
-790,-184.62
-780,-183.84
-770,-183.05
-760,-182.27
-750,-181.49
-740,-181.09
-730,-180.70
-720,-180.31
-710,-179.92
-700,-179.52
-690,-178.54
-680,-177.56
-670,-176.58
-660,-175.60
-650,-174.62
-640,-173.44
-630,-172.26
-620,-171.09
-610,-169.91
-600,-168.73
-590,-167.36
-580,-165.99
-570,-164.61
-560,-163.24
-550,-161.87
-540,-159.90
-530,-157.94
-520,-155.98
-510,-154.02
-500,-152.06
-490,-149.11
-480,-146.17
-470,-143.23
-460,-140.28
-450,-137.34
-440,-134.40
-430,-131.45
-420,-128.51
-410,-125.57
-400,-122.62
-390,-119.68
-380,-116.74
-370,-113.80
-360,-110.85
-350,-107.91
-340,-104.97
-330,-102.02
-320,-99.08
-310,-96.14
-300,-93.20
-290,-90.25
-280,-87.31
-270,-84.37
-260,-81.42
-250,-78.48
-240,-75.54
-230,-72.59
-220,-69.65
-210,-66.71
-200,-63.77
-190,-60.82
-180,-57.88
-170,-54.94
-160,-51.99
-150,-49.05
-140,-46.11
-130,-43.16
-120,-40.22
-110,-37.28
-100,-34.34
-90,-31.39
-80,-28.45
-70,-25.51
-60,-22.56
-50,-19.62
-40,-15.70
-30,-11.77
-20,-7.85
-10,-3.92
0,0.00
10,2.35
20,4.71
30,7.06
40,9.42
50,11.77
60,12.75
70,13.73
80,14.71
90,15.70
100,16.68
110,17.27
120,17.85
130,18.44
140,19.03
150,19.62
160,20.01
170,20.40
180,20.80
190,21.19
200,21.58
210,21.97
220,22.37
230,22.76
240,23.15
250,23.54
260,23.74
270,23.94
280,24.13
290,24.33
300,24.53
310,24.72
320,24.92
330,25.11
340,25.31
350,25.51
360,25.70
370,25.90
380,26.09
390,26.29
400,26.49
410,26.68
420,26.88
430,27.08
440,27.27
450,27.47
460,27.66
470,27.86
480,28.06
490,28.25
500,28.45
510,28.65
520,28.84
530,29.04
540,29.23
550,29.43
560,29.63
570,29.82
580,30.02
590,30.21
600,30.41
610,30.61
620,30.80
630,31.00
640,31.20
650,31.39
660,31.59
670,31.78
680,31.98
690,32.18
700,32.37
710,32.57
720,32.77
730,32.96
740,33.16
750,33.35
760,33.55
770,33.75
780,33.94
790,34.14
800,34.34